Question,Answer
A coin is heads up. Richard flips the coin. William does not flip the coin. Michael flips the coin. Christian does not flip the coin. Is the coin still heads up?,yes
A coin is heads up. Alexander flips the coin. Katherine flips the coin. Jacob does not flip the coin. Brian flips the coin. Is the coin still heads up?,no
A coin is heads up. Mary does not flip the coin. Cynthia does not flip the coin. Lisa does not flip the coin. Catherine does not flip the coin. Is the coin still heads up?,yes
A coin is heads up. Robert flips the coin. Brad flips the coin. Christopher flips the coin. Rita does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Yolanda does not flip the coin. Claudia flips the coin. Anthony flips the coin. Michelle does not flip the coin. Is the coin still heads up?,yes
A coin is heads up. Jessica does not flip the coin. Amanda flips the coin. Shannon flips the coin. Daniel does not flip the coin. Is the coin still heads up?,yes
A coin is heads up. Gary flips the coin. Briana does not flip the coin. Douglas flips the coin. Anna does not flip the coin. Is the coin still heads up?,yes
A coin is heads up. Margaret does not flip the coin. Tiffany flips the coin. Joseph flips the coin. Austin flips the coin. Is the coin still heads up?,no
A coin is heads up. Terrence does not flip the coin. Norman does not flip the coin. Brianna flips the coin. Martha does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Jerry does not flip the coin. Ashley flips the coin. Cory does not flip the coin. Lauren flips the coin. Is the coin still heads up?,yes
A coin is heads up. Doris does not flip the coin. Alexander flips the coin. Edward flips the coin. Marcus does not flip the coin. Is the coin still heads up?,yes
A coin is heads up. Kelly flips the coin. Marcus does not flip the coin. Cheryl does not flip the coin. Daniel does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Vanessa flips the coin. Blake does not flip the coin. Gordon flips the coin. Michael does not flip the coin. Is the coin still heads up?,yes
A coin is heads up. Andrew flips the coin. Stephanie does not flip the coin. Carol flips the coin. Thomas flips the coin. Is the coin still heads up?,no
A coin is heads up. Larry flips the coin. Jack flips the coin. Kelly flips the coin. Melissa flips the coin. Is the coin still heads up?,yes
A coin is heads up. Christopher flips the coin. Paula does not flip the coin. Brandon does not flip the coin. Jessica does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Amanda does not flip the coin. Sheila flips the coin. David does not flip the coin. Rebecca does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Robin does not flip the coin. Krista does not flip the coin. Yolanda flips the coin. Rebecca does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Linda does not flip the coin. Robert does not flip the coin. Kimberly flips the coin. Alexander flips the coin. Is the coin still heads up?,yes
A coin is heads up. Alyssa flips the coin. Jacob does not flip the coin. Kristin does not flip the coin. Robert flips the coin. Is the coin still heads up?,yes
A coin is heads up. Christopher does not flip the coin. Danielle flips the coin. Rebecca does not flip the coin. Angela does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Brenda does not flip the coin. Ruben flips the coin. Henry does not flip the coin. Ashley does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Cindy does not flip the coin. James does not flip the coin. Diana flips the coin. Courtney flips the coin. Is the coin still heads up?,yes
A coin is heads up. Gregory does not flip the coin. Amber flips the coin. John flips the coin. Denise does not flip the coin. Is the coin still heads up?,yes
A coin is heads up. Diana flips the coin. Tammy flips the coin. Kelsey does not flip the coin. Annette flips the coin. Is the coin still heads up?,no
A coin is heads up. Victoria flips the coin. David does not flip the coin. Anthony flips the coin. Gabriel flips the coin. Is the coin still heads up?,no
A coin is heads up. John does not flip the coin. Sara flips the coin. Julie does not flip the coin. Michael does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Patricia flips the coin. Cody flips the coin. Kelsey flips the coin. Ryan does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Michael does not flip the coin. Sara does not flip the coin. James flips the coin. Zachary flips the coin. Is the coin still heads up?,yes
A coin is heads up. Bobby flips the coin. Teresa flips the coin. Deborah flips the coin. Cathy does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Brian flips the coin. Andrew flips the coin. Travis flips the coin. Keith does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Steven does not flip the coin. Nathan flips the coin. Paul does not flip the coin. Greg flips the coin. Is the coin still heads up?,yes
A coin is heads up. Tyler does not flip the coin. Sean flips the coin. Ray flips the coin. Devin does not flip the coin. Is the coin still heads up?,yes
A coin is heads up. Shannon flips the coin. Anna does not flip the coin. Cynthia does not flip the coin. Monica does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Thomas does not flip the coin. Douglas does not flip the coin. Jason does not flip the coin. Michael does not flip the coin. Is the coin still heads up?,yes
A coin is heads up. Phillip does not flip the coin. Steven does not flip the coin. Edward flips the coin. Katie flips the coin. Is the coin still heads up?,yes
A coin is heads up. Michelle flips the coin. Colleen does not flip the coin. Mark does not flip the coin. Theresa flips the coin. Is the coin still heads up?,yes
A coin is heads up. Monica does not flip the coin. Michelle does not flip the coin. Emily flips the coin. Daniel flips the coin. Is the coin still heads up?,yes
A coin is heads up. Angelica flips the coin. Charles flips the coin. Erika does not flip the coin. Nicholas does not flip the coin. Is the coin still heads up?,yes
A coin is heads up. Ray does not flip the coin. Theresa does not flip the coin. Mark does not flip the coin. Charles flips the coin. Is the coin still heads up?,no
A coin is heads up. Nancy flips the coin. Brandon does not flip the coin. Wendy flips the coin. Sarah flips the coin. Is the coin still heads up?,no
A coin is heads up. Donna does not flip the coin. Emily flips the coin. Brian does not flip the coin. Blake does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Tanner flips the coin. Susan flips the coin. Stephen flips the coin. Michael does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Glenn does not flip the coin. Regina does not flip the coin. Patrick flips the coin. Connie does not flip the coin. Is the coin still heads up?,no
A coin is heads up. John flips the coin. Lori flips the coin. Keith does not flip the coin. Jennifer does not flip the coin. Is the coin still heads up?,yes
A coin is heads up. David does not flip the coin. Jeffrey does not flip the coin. Paul flips the coin. Dawn flips the coin. Is the coin still heads up?,yes
A coin is heads up. Matthew flips the coin. Evan does not flip the coin. Hannah flips the coin. Jose flips the coin. Is the coin still heads up?,no
A coin is heads up. Jerry flips the coin. Virginia does not flip the coin. Joseph does not flip the coin. Caitlin flips the coin. Is the coin still heads up?,yes
A coin is heads up. Todd flips the coin. Wendy does not flip the coin. Amanda flips the coin. Dave flips the coin. Is the coin still heads up?,no
A coin is heads up. Melissa flips the coin. Diane does not flip the coin. Joseph does not flip the coin. Maria flips the coin. Is the coin still heads up?,yes
A coin is heads up. Dawn does not flip the coin. David flips the coin. Tyler flips the coin. James flips the coin. Is the coin still heads up?,no
A coin is heads up. Craig flips the coin. Stephen flips the coin. Paul does not flip the coin. Matthew flips the coin. Is the coin still heads up?,no
A coin is heads up. Stephen does not flip the coin. Tony flips the coin. Jessica does not flip the coin. Linda does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Jose flips the coin. Kevin does not flip the coin. Grace flips the coin. Kelly flips the coin. Is the coin still heads up?,no
A coin is heads up. Richard flips the coin. Helen flips the coin. Samantha flips the coin. Jared does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Gwendolyn flips the coin. Gloria does not flip the coin. Kristen does not flip the coin. David does not flip the coin. Is the coin still heads up?,no
A coin is heads up. Angela flips the coin. Sara does not flip the coin. Elizabeth flips the coin. Jacob does not flip the coin. Is the coin still heads up?,yes
A coin is heads up. Jonathan does not flip the coin. Samuel does not flip the coin. Chad flips the coin. Paula flips the coin. Is the coin still heads up?,yes
A coin is heads up. Benjamin flips the coin. Danielle flips the coin. John does not flip the coin. Sherry does not flip the coin. Is the coin still heads up?,yes
